L,Measure,σ=0.0,σ=0.01,σ=0.05,σ=0.1
100,ETC bins=2,0.7739,0.7747,0.7734,0.7246
100,ETC bins=4,0.8837,0.8793,0.8644,0.8246
100,ETC bins=6,0.8948,0.8876,0.8945,0.7972
100,ETC bins=8,0.9101,0.8871,0.8686,0.8273
100,PE D=3,0.411,0.418,0.4594,0.4889
100,PE D=4,0.7081,0.7063,0.725,0.6958
100,PE D=5,0.8633,0.8573,0.8412,0.8164
100,PE D=6,0.9011,0.8212,0.8113,0.8049
100,PE D=7,0.9135,0.7945,0.7604,0.7539
1000,ETC bins=2,0.853,0.8552,0.8713,0.8399
1000,ETC bins=4,0.9255,0.9256,0.9198,0.9106
1000,ETC bins=6,0.933,0.9217,0.9315,0.9264
1000,ETC bins=8,0.9315,0.9111,0.9214,0.9187
1000,PE D=3,0.444,0.4521,0.4986,0.5318
1000,PE D=4,0.7334,0.7301,0.7441,0.7321
1000,PE D=5,0.8921,0.888,0.8798,0.8662
1000,PE D=6,0.9223,0.8679,0.8762,0.897
1000,PE D=7,0.9287,0.8359,0.8429,0.8789
10000,ETC bins=2,0.8662,0.8684,0.8784,0.8568
10000,ETC bins=4,0.9323,0.9302,0.9274,0.924
10000,ETC bins=6,0.9376,0.9271,0.9343,0.9169
10000,ETC bins=8,0.9357,0.9118,0.9327,0.9096
10000,PE D=3,0.4464,0.4556,0.5019,0.5352
10000,PE D=4,0.7355,0.7334,0.7492,0.7435
10000,PE D=5,0.894,0.8922,0.8854,0.8763
10000,PE D=6,0.9235,0.8736,0.8831,0.9033
10000,PE D=7,0.9295,0.8435,0.854,0.888
100000,ETC bins=2,0.8675,0.869,0.8751,0.8538
100000,ETC bins=4,0.9329,0.9298,0.916,0.9216
100000,ETC bins=6,0.9377,0.9326,0.9364,0.8623
100000,ETC bins=8,0.9375,0.9088,0.9185,0.9201
100000,PE D=3,0.443,0.4521,0.4985,0.5324
100000,PE D=4,0.7328,0.7307,0.7461,0.7401
100000,PE D=5,0.8925,0.8909,0.884,0.8752
100000,PE D=6,0.9227,0.8738,0.883,0.9027
100000,PE D=7,0.9291,0.8447,0.8556,0.8885
