L,Measure,sigma=0.0,sigma=0.01,sigma=0.05,sigma=0.1
100,ETC M=2,0.7739,0.7747,0.7734,0.7246
100,ETC M=4,0.8837,0.8793,0.8644,0.8246
100,PE n=5,0.8633,0.8573,0.8412,0.8164
100,PE n=6,0.9011,0.8212,0.8113,0.8049
10000,ETC M=2,0.8662,0.8684,0.8784,0.8568
10000,ETC M=4,0.9323,0.9302,0.9274,0.924
10000,PE n=5,0.894,0.8922,0.8854,0.8763
10000,PE n=6,0.9235,0.8736,0.8831,0.9033
100000,ETC M=2,0.8675,0.869,0.8751,0.8538
100000,ETC M=4,0.9329,0.9298,0.916,0.9216
100000,PE n=5,0.8925,0.8909,0.884,0.8752
100000,PE n=6,0.9227,0.8738,0.883,0.9027
