L,Measure,σ=0.0,σ=0.01,σ=0.05,σ=0.1
100,ETC bins=2,0.8701,0.865,0.8258,0.8235
100,ETC bins=4,0.9091,0.8704,0.5724,0.6645
100,ETC bins=6,0.9105,0.8977,0.5402,0.6143
100,ETC bins=8,0.9142,0.8568,0.6128,0.5613
100,PE D=3,0.629,0.6609,0.6904,0.688
100,PE D=4,0.7989,0.8068,0.7689,0.7969
100,PE D=5,0.8554,0.7697,0.67,0.7412
100,PE D=6,0.8908,0.6908,0.625,0.6656
100,PE D=7,0.9197,0.6052,0.5633,0.6298
1000,ETC bins=2,0.8872,0.8918,0.8799,0.8783
1000,ETC bins=4,0.9218,0.8969,0.8095,0.8262
1000,ETC bins=6,0.9235,0.9188,0.7882,0.7149
1000,ETC bins=8,0.9265,0.8878,0.7708,0.6083
1000,PE D=3,0.6725,0.707,0.7412,0.6962
1000,PE D=4,0.8045,0.8217,0.8486,0.8329
1000,PE D=5,0.8681,0.8074,0.8184,0.8
1000,PE D=6,0.8935,0.747,0.8159,0.7908
1000,PE D=7,0.9156,0.681,0.804,0.7522
10000,ETC bins=2,0.8863,0.891,0.8841,0.8794
10000,ETC bins=4,0.9159,0.9082,0.7978,0.8804
10000,ETC bins=6,0.9209,0.8991,0.8906,0.8299
10000,ETC bins=8,0.9242,0.9079,0.8613,0.8067
10000,PE D=3,0.6758,0.7106,0.7457,0.7101
10000,PE D=4,0.804,0.8239,0.848,0.836
10000,PE D=5,0.8684,0.8145,0.8164,0.8036
10000,PE D=6,0.8931,0.7594,0.8139,0.7975
10000,PE D=7,0.9142,0.7014,0.8074,0.7852
100000,ETC bins=2,0.8841,0.8881,0.8776,0.8741
100000,ETC bins=4,0.9123,0.9094,0.8326,0.8417
100000,ETC bins=6,0.919,0.8872,0.8876,0.8225
100000,ETC bins=8,0.9224,0.9157,0.8266,0.8218
100000,PE D=3,0.6765,0.7111,0.7467,0.7102
100000,PE D=4,0.8035,0.8231,0.8519,0.8369
100000,PE D=5,0.8686,0.8149,0.8235,0.8044
100000,PE D=6,0.8931,0.7612,0.8212,0.7991
100000,PE D=7,0.9141,0.706,0.817,0.7907
