L,Measure,sigma=0.0,sigma=0.01,sigma=0.05,sigma=0.1
100,ETC M=2,0.8701,0.865,0.8258,0.8235
100,ETC M=4,0.9091,0.8704,0.5724,0.6645
100,PE n=4,0.7989,0.8068,0.7689,0.7969
100,PE n=5,0.8554,0.7697,0.67,0.7412
10000,ETC M=2,0.8863,0.891,0.8841,0.8794
10000,ETC M=4,0.9159,0.9082,0.7978,0.8804
10000,PE n=4,0.804,0.8239,0.848,0.836
10000,PE n=5,0.8684,0.8145,0.8164,0.8036
100000,ETC M=2,0.8841,0.8881,0.8776,0.8741
100000,ETC M=4,0.9123,0.9094,0.8326,0.8417
100000,PE n=4,0.8035,0.8231,0.8519,0.8369
100000,PE n=5,0.8686,0.8149,0.8235,0.8044
