L,Measure,σ=0.0,σ=0.01,σ=0.05,σ=0.1
100,ETC bins=2,0.37,0.3764,0.3657,0.3458
100,ETC bins=4,0.6271,0.6299,0.6233,0.622
100,ETC bins=6,0.4725,0.4684,0.4653,0.4593
100,ETC bins=8,0.5168,0.5172,0.5121,0.5096
100,PE D=3,-0.417,-0.4241,-0.4332,-0.4276
100,PE D=4,-0.1789,-0.1869,-0.1915,-0.206
100,PE D=5,0.1401,0.1346,0.1407,0.1391
100,PE D=6,0.2263,0.2227,0.2293,0.2364
100,PE D=7,0.362,0.3604,0.3662,0.375
1000,ETC bins=2,0.9025,0.9007,0.8985,0.8737
1000,ETC bins=4,0.9008,0.9,0.902,0.8948
1000,ETC bins=6,0.8718,0.8718,0.8726,0.8573
1000,ETC bins=8,0.8824,0.8853,0.8965,0.8873
1000,PE D=3,-0.7679,-0.7679,-0.7659,-0.7689
1000,PE D=4,0.1008,0.1003,0.0675,0.0011
1000,PE D=5,0.4214,0.4215,0.4189,0.4074
1000,PE D=6,0.5074,0.5073,0.5081,0.506
1000,PE D=7,0.6561,0.6567,0.6634,0.6708
10000,ETC bins=2,0.9841,0.9833,0.9762,0.9604
10000,ETC bins=4,0.9808,0.9819,0.9786,0.966
10000,ETC bins=6,0.9714,0.9741,0.9696,0.9432
10000,ETC bins=8,0.971,0.974,0.9704,0.9492
10000,PE D=3,-0.8506,-0.8507,-0.8514,-0.8514
10000,PE D=4,0.1697,0.1689,0.1373,0.086
10000,PE D=5,0.4617,0.462,0.4601,0.4532
10000,PE D=6,0.5467,0.5468,0.547,0.5456
10000,PE D=7,0.7006,0.7011,0.7076,0.7135
100000,ETC bins=2,0.9811,0.9753,0.9235,0.8201
100000,ETC bins=4,0.979,0.9762,0.9213,0.7689
100000,ETC bins=6,0.98,0.9802,0.9097,0.6582
100000,ETC bins=8,0.9776,0.9761,0.9054,0.6796
100000,PE D=3,-0.8126,-0.3042,-0.439,-0.5038
100000,PE D=4,-0.8409,-0.3922,-0.416,-0.4837
100000,PE D=5,-0.8012,-0.4256,-0.4014,-0.471
100000,PE D=6,-0.6698,-0.43,-0.379,-0.4607
100000,PE D=7,-0.5018,-0.411,-0.3737,-0.4505
1000000,ETC bins=2,0.9927,0.9881,0.9332,0.7956
1000000,ETC bins=4,0.9922,0.9867,0.891,0.6121
1000000,ETC bins=6,0.9903,0.9835,0.787,0.3626
1000000,ETC bins=8,0.9888,0.9777,0.7777,0.3451
1000000,PE D=3,-0.8102,-0.3083,-0.4395,-0.503
1000000,PE D=4,-0.8464,-0.3934,-0.416,-0.4831
1000000,PE D=5,-0.8132,-0.4233,-0.4013,-0.4706
1000000,PE D=6,-0.6893,-0.4244,-0.3773,-0.4607
1000000,PE D=7,-0.5183,-0.4027,-0.3604,-0.4474
