L,Measure,sigma=0.0,sigma=0.01,sigma=0.05,sigma=0.1
100,ETC M=2,0.37,0.3764,0.3657,0.3458
100,ETC M=4,0.6271,0.6299,0.6233,0.622
100,ETC M=6,0.4725,0.4684,0.4653,0.4593
100,PE n=5,0.1401,0.1346,0.1407,0.1391
100,PE n=6,0.2263,0.2227,0.2293,0.2364
100,PE n=7,0.362,0.3604,0.3662,0.375
10000,ETC M=2,0.9841,0.9833,0.9762,0.9604
10000,ETC M=4,0.9808,0.9819,0.9786,0.966
10000,ETC M=6,0.9714,0.9741,0.9696,0.9432
10000,PE n=5,0.4617,0.462,0.4601,0.4532
10000,PE n=6,0.5467,0.5468,0.547,0.5456
10000,PE n=7,0.7006,0.7011,0.7076,0.7135
1000000,ETC M=2,0.9927,0.9881,0.9332,0.7956
1000000,ETC M=4,0.9922,0.9867,0.891,0.6121
1000000,ETC M=6,0.9903,0.9835,0.787,0.3626
1000000,PE n=5,-0.8132,-0.4233,-0.4013,-0.4706
1000000,PE n=6,-0.6893,-0.4244,-0.3773,-0.4607
1000000,PE n=7,-0.5183,-0.4027,-0.3604,-0.4474
